COUNTRY,DATE,GROUP,COVID_VACCINE_ADM_1D,COVID_VACCINE_COV_1D,POPULATION,QUARTER,YEAR
AND,2024-04-01,old,158.000000000,0.008324114,18981.000000000,1,2024
AND,2024-07-01,old,115.000000000,0.006058690,18981.000000000,2,2024
ARG,2024-04-01,old,432374.000000000,0.056163416,7698499.000000000,1,2024
ARG,2024-07-01,old,702252.000000000,0.091219340,7698499.000000000,2,2024
BEL,2024-07-01,old,6051.000000000,0.002507382,2413274.000000000,2,2024
BGR,2024-04-01,old,3038.000000000,0.001570477,1934444.000000000,1,2024
BGR,2024-07-01,old,3632.000000000,0.001877542,1934444.000000000,2,2024
BLR,2024-04-01,old,240.000000000,0.000106193,2260032.000000000,1,2024
BLZ,2024-04-01,old,0.000000000,0.000000000,33486.000000000,1,2024
BLZ,2024-07-01,old,3.000000000,0.000089590,33486.000000000,2,2024
BRA,2024-04-01,old,15697.000000000,0.000459468,34163460.000000000,1,2024
BTN,2024-04-01,old,0.000000000,0.000000000,75834.000000000,1,2024
CHL,2024-04-01,old,274935.000000000,0.071017624,3871363.000000000,1,2024
CIV,2024-04-01,old,21732.000000000,0.007087230,3066360.000000000,1,2024
CRI,2024-04-01,old,3062.000000000,0.003404261,899461.000000000,1,2024
CRI,2024-07-01,old,746.000000000,0.000829386,899461.000000000,2,2024
CYP,2024-07-01,old,6533.000000000,0.024061640,271511.000000000,2,2024
CZE,2024-04-01,old,15230.000000000,0.005344388,2849718.000000000,1,2024
CZE,2024-07-01,old,15467.000000000,0.005427555,2849718.000000000,2,2024
DEU,2024-04-01,old,242846.000000000,0.009265504,26209692.000000000,1,2024
DEU,2024-07-01,old,247453.000000000,0.009441278,26209692.000000000,2,2024
DMA,2024-04-01,old,0.000000000,0.000000000,12494.000000000,1,2024
DMA,2024-07-01,old,0.000000000,0.000000000,12494.000000000,2,2024
DNK,2024-07-01,old,12305.000000000,0.009865610,1247262.000000000,2,2024
DOM,2024-04-01,old,26843.000000000,0.019846847,1352507.000000000,1,2024
ESP,2024-07-01,old,379873.000000000,0.028212103,13464895.000000000,2,2024
EST,2024-07-01,old,6447.000000000,0.017108919,376821.000000000,2,2024
FIN,2024-04-01,old,46753.000000000,0.027388248,1707046.000000000,1,2024
FIN,2024-07-01,old,48752.000000000,0.028559277,1707046.000000000,2,2024
FRA,2024-04-01,old,237397.000000000,0.012551556,18913751.000000000,1,2024
FRA,2024-07-01,old,237397.000000000,0.012551556,18913751.000000000,2,2024
GNB,2024-04-01,old,36608.000000000,0.159708225,229218.000000000,1,2024
GRC,2024-04-01,old,139407.000000000,0.045237514,3081668.000000000,1,2024
GRC,2024-07-01,old,141399.000000000,0.045883917,3081668.000000000,2,2024
HKG,2024-04-01,old,132716.000000000,0.038382274,3457742.000000000,1,2024
HND,2024-04-01,old,8950.000000000,0.012148475,736718.000000000,1,2024
HND,2024-07-01,old,15079.000000000,0.020467805,736718.000000000,2,2024
HUN,2024-07-01,old,36127.000000000,0.014031985,2574618.000000000,2,2024
IDN,2024-04-01,old,8.000000000,0.000000246,32573758.000000000,1,2024
IDN,2024-07-01,old,40.000000000,0.000001228,32573758.000000000,2,2024
IRL,2024-07-01,old,361864.000000000,0.321780453,1124568.000000000,2,2024
IRN,2024-04-01,old,0.000000000,0.000000000,11195067.000000000,1,2024
ISL,2024-04-01,old,1613.000000000,0.019428117,83024.000000000,1,2024
ISL,2024-07-01,old,1613.000000000,0.019428117,83024.000000000,2,2024
ITA,2024-07-01,old,230794.000000000,0.012134016,19020413.000000000,2,2024
KGZ,2024-04-01,old,2867.000000000,0.004219726,679428.000000000,1,2024
KHM,2024-04-01,old,363938.000000000,0.214614177,1695778.000000000,1,2024
KNA,2024-04-01,old,0.000000000,0.000000000,8022.000000000,1,2024
LAO,2024-04-01,old,316.000000000,0.000542963,581992.000000000,1,2024
LTU,2024-07-01,old,885.000000000,0.001127713,784774.000000000,2,2024
LUX,2024-07-01,old,1895.000000000,0.013072842,144957.000000000,2,2024
LVA,2024-07-01,old,31.000000000,0.000057444,539658.000000000,2,2024
MDA,2024-04-01,old,488.000000000,0.000698514,698626.000000000,1,2024
MDA,2024-07-01,old,547.000000000,0.000782965,698626.000000000,2,2024
MDV,2024-04-01,old,2.000000000,0.000050633,39500.000000000,1,2024
MEX,2024-04-01,old,1184020.000000000,0.074217273,15953429.000000000,1,2024
MNE,2024-04-01,old,3.000000000,0.000026347,113865.000000000,1,2024
MSR,2024-07-01,old,0.000000000,0.000000000,1176.000000000,2,2024
NER,2024-04-01,old,6532.000000000,0.005785185,1129091.000000000,1,2024
NLD,2024-04-01,old,2312.000000000,0.000464560,4976747.000000000,1,2024
NLD,2024-07-01,old,2760.000000000,0.000554579,4976747.000000000,2,2024
NOR,2024-07-01,old,11497.000000000,0.008382805,1371498.000000000,2,2024
OMN,2024-04-01,old,12.000000000,0.000052739,227535.000000000,1,2024
OMN,2024-07-01,old,2.000000000,0.000008790,227535.000000000,2,2024
PAN,2024-04-01,old,1828.000000000,0.002996441,610057.000000000,1,2024
PAN,2024-07-01,old,181.000000000,0.000296694,610057.000000000,2,2024
PER,2024-04-01,old,191461.000000000,0.043058704,4446511.000000000,1,2024
PNG,2024-04-01,old,306.000000000,0.000216186,1415449.000000000,1,2024
POL,2024-07-01,old,268634.000000000,0.026538728,10122339.000000000,2,2024
PRT,2024-04-01,old,200430.000000000,0.060984738,3286560.000000000,1,2024
PRT,2024-07-01,old,202072.000000000,0.061484348,3286560.000000000,2,2024
PRY,2024-04-01,old,10461.000000000,0.015229646,686884.000000000,1,2024
PRY,2024-07-01,old,40858.000000000,0.059483115,686884.000000000,2,2024
PSE,2024-04-01,old,0.000000000,0.000000000,325870.000000000,1,2024
PSE,2024-07-01,old,0.000000000,0.000000000,325870.000000000,2,2024
ROU,2024-04-01,old,199.000000000,0.000041297,4818801.000000000,1,2024
ROU,2024-07-01,old,2351.000000000,0.000487881,4818801.000000000,2,2024
SEN,2024-04-01,old,58.000000000,0.000056211,1031822.000000000,1,2024
SEN,2024-07-01,old,64.000000000,0.000062026,1031822.000000000,2,2024
SLV,2024-04-01,old,2604.000000000,0.003531527,737358.000000000,1,2024
SLV,2024-07-01,old,3026.000000000,0.004103841,737358.000000000,2,2024
SMR,2024-04-01,old,8.000000000,0.000779879,10258.000000000,1,2024
SMR,2024-07-01,old,8.000000000,0.000779879,10258.000000000,2,2024
SVN,2024-07-01,old,3354.000000000,0.007270804,461297.000000000,2,2024
SWE,2024-07-01,old,1756284.000000000,0.626967301,2801237.000000000,2,2024
SYC,2024-04-01,old,0.000000000,0.000000000,17209.000000000,1,2024
SYR,2024-04-01,old,202.000000000,0.000075741,2666969.000000000,1,2024
TCA,2024-04-01,old,0.000000000,0.000000000,7891.000000000,1,2024
TCA,2024-07-01,old,3.000000000,0.000380180,7891.000000000,2,2024
UKR,2024-07-01,old,19433.000000000,0.001954401,9943198.000000000,2,2024
URY,2024-04-01,old,88708.000000000,0.122135513,726308.000000000,1,2024
URY,2024-07-01,old,14185.000000000,0.019530282,726308.000000000,2,2024
UZB,2024-04-01,old,142.000000000,0.000041132,3452328.000000000,1,2024
UZB,2024-07-01,old,11880.000000000,0.003441156,3452328.000000000,2,2024
AND,2024-04-01,other,1.000000000,,,1,2024
BLR,2024-04-01,other,792.000000000,,,1,2024
BLZ,2024-04-01,other,1057.000000000,,,1,2024
BLZ,2024-07-01,other,6.000000000,,,2,2024
BRA,2024-04-01,other,620686.000000000,,,1,2024
BTN,2024-04-01,other,0.000000000,,,1,2024
CHL,2024-04-01,other,20250.000000000,,,1,2024
COL,2024-04-01,other,1429.000000000,,,1,2024
COL,2024-07-01,other,4351.000000000,,,2,2024
CRI,2024-04-01,other,2280.000000000,,,1,2024
DMA,2024-04-01,other,0.000000000,,,1,2024
DMA,2024-07-01,other,0.000000000,,,2,2024
DOM,2024-04-01,other,10655.000000000,,,1,2024
HND,2024-04-01,other,59046.000000000,,,1,2024
HND,2024-07-01,other,82171.000000000,,,2,2024
IDN,2024-04-01,other,435.000000000,,,1,2024
IDN,2024-07-01,other,3076.000000000,,,2,2024
KGZ,2024-04-01,other,13791.000000000,,,1,2024
KNA,2024-04-01,other,0.000000000,,,1,2024
LVA,2024-07-01,other,7.000000000,,,2,2024
MDA,2024-04-01,other,239.000000000,,,1,2024
MDA,2024-07-01,other,54.000000000,,,,
MEX,2024-04-01,other,924158.000000000,,,1,2024
MNE,2024-04-01,other,82.000000000,,,1,2024
MNE,2024-07-01,other,6.000000000,,,2,2024
MSR,2024-07-01,other,0.000000000,,,2,2024
NER,2024-04-01,other,84985.000000000,,,1,2024
OMN,2024-07-01,other,30.000000000,,,2,2024
PAN,2024-04-01,other,4015.000000000,,,1,2024
PAN,2024-07-01,other,634.000000000,,,2,2024
PRT,2024-07-01,other,178.000000000,,,,
PRY,2024-04-01,other,31844.000000000,,,1,2024
PRY,2024-07-01,other,65243.000000000,,,2,2024
PSE,2024-04-01,other,0.000000000,,,1,2024
PSE,2024-07-01,other,0.000000000,,,2,2024
SMR,2024-04-01,other,54.000000000,,,1,2024
SMR,2024-07-01,other,54.000000000,,,2,2024
SYC,2024-04-01,other,0.000000000,,,1,2024
TCA,2024-04-01,other,0.000000000,,,1,2024
TCA,2024-07-01,other,4.000000000,,,2,2024
UZB,2024-04-01,other,2296.000000000,,,1,2024
UZB,2024-07-01,other,592935.000000000,,,2,2024
ARG,2024-04-01,pw,2982.000000000,,,1,2024
ARG,2024-07-01,pw,4618.000000000,,,2,2024
BLR,2024-04-01,pw,3.000000000,,,1,2024
BLZ,2024-04-01,pw,0.000000000,,,1,2024
BLZ,2024-07-01,pw,0.000000000,,,2,2024
BRA,2024-04-01,pw,1278.000000000,,,1,2024
